code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
38,4801,17466,32.6,65.4,7.7,31.7,21
01,5129,17487,32.7,64.4,10.5,33.2,21.6
30,1027,17364,32.8,64.3,8.5,33.4,23.3
31,1495,17375,32.8,54.8,10.3,40.8,22.9
03,2606,17300,32.8,60.2,11.4,33.9,21.4
70,952,16588,32.9,64.9,7.6,32.9,22.8
60,1119,16542,32.9,76.3,4.2,23,22.1
26,2911,17010,32.9,62.2,11.1,33.3,22.2
71,4433,17054,32.9,64.3,9.1,33.8,21.4
13,221,17032,33,70.4,10.9,26.8,26.5
66,857,16182,33,62.2,10.5,32.4,22.5
69,1097,16368,33.1,63.2,8.3,31.4,21.3
83,1968,16862,33.1,63.7,10.7,31.6,22.9
13,2957,16640,33.1,66.6,6.5,30.2,21.7
47,1006,16356,33.2,54.7,8.8,40.6,22.8
61,1762,16732,33.2,56.2,7.6,39.6,23.7
84,1769,17264,33.3,66.3,7.9,31.7,23.4
92,4991,17984,33.3,89.1,5.9,16.3,25
58,5095,17690,33.3,59.3,9.4,37.7,22.8
71,5857,17146,33.3,63.6,8.9,34.5,22.3
30,743,17578,33.4,48.1,15.7,45.4,23.6
11,6970,17134,33.4,58.4,11.9,36.1,23.9
42,4383,16550,33.5,57.1,11.1,37.1,23.6
84,1278,16878,33.6,66.1,8.2,30.9,24.8
07,1452,16708,33.6,56.9,14.4,36.3,23.9
88,6046,17590,33.6,65.4,10.1,32.4,24.2
54,1646,16566,33.7,37.9,36.9,27.5,24.6
62,606,16456,33.8,72.9,4,26,23.1
91,1136,17216,33.8,80.9,5.3,21.5,22.2
63,1252,16422,33.8,59.3,8.9,36.1,22.5
54,2464,16778,33.9,63.2,9.2,32.7,23
2B,2708,17260,33.9,69.5,9.9,28.6,23.4
94,10492,17016,33.9,79.7,6.5,21.4,24
10,704,17218,34,63.5,8.9,33,21.8
95,1131,16664,34,81.3,3,19.6,22.9
54,1468,17202,34,65.1,6.9,32.8,24.5
09,2475,16614,34,62,9.7,32.1,22.5
16,7614,17496,34,66.5,9,30.4,23.4
93,3581,16462,34.1,81.2,4.7,19.1,22.1
59,858,16414,34.2,66.9,7.7,29.1,23.4
02,1894,16672,34.2,66.6,9.8,30.1,23.3
94,2695,16384,34.2,79.3,5.2,20.7,22.3
67,4016,17272,34.2,73.3,8.1,25,23.4
77,7006,16900,34.2,78.7,6.2,20.8,22.2
26,452,16138,34.3,68.4,7.8,27.4,22.2
59,839,16054,34.3,65.1,8.5,29.5,22.8
34,5686,16720,34.3,54.3,12,42.1,24.9
67,2100,16950,34.4,70.9,6.8,27.8,23.6
59,619,16484,34.5,61.4,7.1,34.6,22.4
34,747,16132,34.5,51.1,10.1,42.4,23.8
70,747,16372,34.5,59.1,9.5,37,23.6
62,1496,16510,34.5,65.9,7.4,29.4,24.4
94,1639,16336,34.5,77.7,5.6,22.6,21.6
77,1594,16547,34.6,69.3,7.4,28,22.9
59,5155,16594,34.7,64.8,9.5,31.2,24.2
76,1474,16628,34.8,70.2,4.7,26.5,23
28,1533,16208,34.8,65.8,6,30.8,21.7
45,1909,17192,34.8,64.4,8.7,33.3,24.8
62,7532,17386,34.8,70.8,9.3,27.6,25
42,21792,16904,34.8,62.8,10.2,33.3,23.8
93,12874,17858,34.9,85.9,6.7,18.1,26.5
13,139512,17704,34.9,71.6,10.2,27.6,26.1
62,1006,15678,35,64.3,8.3,30.3,22.9
14,2485,16126,35,59.6,8.1,35.6,23.2
77,2677,16513,35,73.7,6,25.1,22.2
30,448,16212,35.2,44.8,11.6,46.4,25.5
25,606,16604,35.2,60.8,5.8,35.3,21.3
82,1052,16210,35.2,60.5,10.8,33.6,25.3
81,1391,15618,35.2,55.9,8.9,38.2,23.4
41,7954,17158,35.2,66.1,9.1,31.9,25.5
84,715,16202,35.3,57.1,10.6,37.6,24.9
59,719,15788,35.3,67.4,3.9,28.5,22.4
67,39400,17461,35.3,73.9,11.8,24.7,24.8
30,2339,16710,35.4,62.5,9,34.2,24.6
70,2885,16540,35.5,60.3,9.1,35.6,23.2
59,35431,17486,35.5,81.3,8.5,18.8,25.7
71,259,16322,35.7,60.5,6.2,36.5,21
38,608,16314,35.7,66.6,8.7,29,24.4
91,1262,16092,35.7,79.2,3.4,21.9,23
42,1319,15700,35.7,59.2,7,34.9,21.7
77,1632,16362,35.7,68.2,11.2,28.4,25.5
27,1085,15834,35.8,59.6,8.2,34.7,23.7
76,1662,16251,35.8,61.5,5.2,35.1,23.6
59,4067,15984,35.8,69.5,6.9,26,24.4
69,4422,16888,35.8,70.5,9,26.1,23.2
30,459,16568,35.9,51.4,14.1,41,26.8
42,1593,15662,36,65.2,7.6,29.4,23.4
38,2421,16360,36,78.1,4.5,18.7,21.1
65,6899,16424,36,60,8.6,36.1,24.6
60,10578,16746,36,69.8,7.6,28,25.3
80,21397,16964,36,71.8,9,26.4,25.4
14,2747,16132,36.1,70.1,5.5,28,24
61,1817,15860,36.2,57.9,9.7,36.6,25.2
76,3346,15924,36.2,73,4.3,24.3,24
90,7129,16474,36.2,69.7,7.9,28,25.5
95,13728,16510,36.2,81.7,5.6,20.2,26.7
76,4930,16060,36.3,55.8,8.5,39,24.4
94,6237,16726,36.4,83.1,6.1,20,27.9
95,2809,15988,36.5,79.6,4.7,20.5,24.2
61,5159,16600,36.5,59.3,9.4,35.6,27.2
77,8038,16475,36.5,79.5,6.9,20.7,24.5
61,962,15968,36.6,54.2,10.1,39.7,25.6
72,1630,15924,36.6,58.2,5.8,36.6,24.9
59,1774,15580,36.6,65.3,5.9,29.8,24.5
34,2927,16252,36.6,65.2,8.9,30.1,25.5
62,4467,15936,36.7,70.1,5.4,26.7,25.9
69,5131,16320,36.7,67.4,9,27.8,23.7
78,525,15602,36.8,78.3,4.8,22.1,26
02,2124,15554,36.8,60.2,5.7,34.6,24.8
57,796,15692,36.9,47.8,21.4,31,26.3
62,1355,15270,37,62.4,4.9,33.3,24.5
62,1838,15350,37,65,4.4,31,26.2
93,3289,16412,37,80.8,6.1,19.5,27.3
47,6091,16384,37,66.4,9.8,29.1,25.1
11,8321,16684,37,61.5,10.5,33.3,26.9
34,36746,16844,37,71.9,10.1,26.1,26.5
47,483,15287,37.1,53,10.9,39.7,24.9
62,1115,15712,37.1,68.7,4.4,27.8,25.8
25,3996,16308,37.1,64,8.1,32.9,24.7
84,938,15744,37.2,58.2,10.8,36.3,26
21,2075,15710,37.2,63,6.5,33.2,23.8
01,2515,15398,37.4,67.7,9.5,28.3,24.7
88,3100,15832,37.5,58,9.9,37,26.5
89,3747,15950,37.5,61.1,10.4,34.2,25.4
11,1545,15780,37.7,53,9.4,40.1,26.8
97,7850,17060,37.7,86.4,5.9,11.5,27.7
